2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:00 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:01 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:01 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:01 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:01 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:01 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:01 INFO - Word dictionary doesn't contain word: "не нравящийся"
2015-04-29 00:25:02 INFO - Word dictionary doesn't contain word: "не нравящийся"
2015-04-29 00:25:02 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:02 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:03 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:03 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:03 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:03 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:03 INFO - Word dictionary doesn't contain word: "стремиться уничтожить"
2015-04-29 00:25:04 INFO - Word dictionary doesn't contain word: "делать плохим"
2015-04-29 00:25:05 INFO - Word dictionary doesn't contain word: "естественные науки"
2015-04-29 00:25:05 INFO - Word dictionary doesn't contain word: "естественные науки"
2015-04-29 00:25:05 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 00:25:05 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "заявить свое несогласие"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "объявить спорным"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "заявить свое несогласие"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "объявить спорным"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "официальное заявление"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "официальное заявление"
2015-04-29 00:25:06 INFO - Word dictionary doesn't contain word: "официальное заявление"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "заявить свое несогласие"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "объявить спорным"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "заявить свое несогласие"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "объявить спорным"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "официальное заявление"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "производящая товары"
2015-04-29 00:25:07 INFO - Word dictionary doesn't contain word: "сравнительная величина"
2015-04-29 00:25:09 INFO - Word dictionary doesn't contain word: "сравнительная величина"
2015-04-29 00:25:09 INFO - Word dictionary doesn't contain word: "органы при президенте"
2015-04-29 00:25:12 INFO - Word dictionary doesn't contain word: "болезненный процесс"
2015-04-29 00:25:12 INFO - Word dictionary doesn't contain word: "болезненный процесс"
2015-04-29 00:25:12 INFO - Word dictionary doesn't contain word: "приятный с виду"
2015-04-29 00:25:12 INFO - Word dictionary doesn't contain word: "приятный с виду"
2015-04-29 00:25:12 INFO - Word dictionary doesn't contain word: "нарисованное изображение"
2015-04-29 00:25:13 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 00:25:13 INFO - Stopped loading synonyms
2015-04-29 00:25:13 INFO - Amount of checked words: 2082
2015-04-29 00:25:54 INFO - Word dictionary doesn't contain word: "совокупность предметов"for аптечка первой помощи
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "арабы"for арабский шейх
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "представить в другой форме"for аранжировать
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "представить в другой форме"for аранжировка
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "собрав соединить"for аранжировка
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "собрав соединить"for аранжировка букета
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "представить в другой форме"for аранжировка музыкального произведения
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "представить в другой форме"for аранжировка произведения
2015-04-29 00:25:57 INFO - Word dictionary doesn't contain word: "собрав соединить"for аранжировка цветов
2015-04-29 00:25:58 INFO - Word dictionary doesn't contain word: "официальный порядок действий"for арбитражное управление
2015-04-29 00:25:59 INFO - Word dictionary doesn't contain word: "южноамериканцы"for аргентинец
2015-04-29 00:25:59 INFO - Word dictionary doesn't contain word: "южноамериканцы"for аргентинка
2015-04-29 00:25:59 INFO - Word dictionary doesn't contain word: "то"for аргумент
2015-04-29 00:25:59 INFO - Word dictionary doesn't contain word: "что обосновывает"for аргумент
2015-04-29 00:25:59 INFO - Word dictionary doesn't contain word: "то"for аргументация
2015-04-29 00:25:59 INFO - Word dictionary doesn't contain word: "что обосновывает"for аргументация
2015-04-29 00:26:02 INFO - Word dictionary doesn't contain word: "не позволить"for арест
2015-04-29 00:26:02 INFO - Word dictionary doesn't contain word: "не позволить"for арест имущества
2015-04-29 00:26:02 INFO - Word dictionary doesn't contain word: "не позволить"for арест на имущество
2015-04-29 00:26:02 INFO - Word dictionary doesn't contain word: "не позволить"for арестовать
2015-04-29 00:26:02 INFO - Word dictionary doesn't contain word: "не позволить"for арестовать имущество
2015-04-29 00:26:03 INFO - Word dictionary doesn't contain word: "не позволить"for арестовывать
2015-04-29 00:26:04 INFO - Word dictionary doesn't contain word: "ловить движущееся"for арканить
2015-04-29 00:26:04 INFO - Word dictionary doesn't contain word: "вспомогательные устройства"for арматура запорная
2015-04-29 00:26:05 INFO - Word dictionary doesn't contain word: "источник заработка"for армейская служба
2015-04-29 00:26:05 INFO - Word dictionary doesn't contain word: "позвать явиться или делать что-л"for армейский призыв
2015-04-29 00:26:05 INFO - Word dictionary doesn't contain word: "предметы"for армейское снаряжение
2015-04-29 00:26:05 INFO - Word dictionary doesn't contain word: "кавказцы"for армянин
2015-04-29 00:26:05 INFO - Word dictionary doesn't contain word: "кавказцы"for армянка
2015-04-29 00:26:07 INFO - Word dictionary doesn't contain word: "то"for арсенал
2015-04-29 00:26:07 INFO - Word dictionary doesn't contain word: "что запасено"for арсенал
2015-04-29 00:26:13 INFO - Word dictionary doesn't contain word: "болезненный процесс"for артрит
2015-04-29 00:26:14 INFO - Word dictionary doesn't contain word: "служитель бога"for архангел
2015-04-29 00:26:15 INFO - Word dictionary doesn't contain word: "служитель бога"for архангельский
2015-04-29 00:26:22 INFO - Stopped loading synonyms
2015-04-29 00:26:22 INFO - Amount of checked words: 2397
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "запасы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "ресурсы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "запасы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "ресурсы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "запасы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "ресурсы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "запасы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "ресурсы"
2015-04-29 09:24:30 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 09:24:31 INFO - Word dictionary doesn't contain word: "запасы"
2015-04-29 09:24:31 INFO - Word dictionary doesn't contain word: "ресурсы"
2015-04-29 09:24:31 INFO - Word dictionary doesn't contain word: "совокупность собранного"
2015-04-29 09:24:33 INFO - Word dictionary doesn't contain word: "временное"
2015-04-29 09:24:33 INFO - Word dictionary doesn't contain word: "темпоральное"
2015-04-29 09:24:33 INFO - Word dictionary doesn't contain word: "временное"
2015-04-29 09:24:33 INFO - Word dictionary doesn't contain word: "темпоральное"
2015-04-29 09:24:33 INFO - Word dictionary doesn't contain word: "совместное присутствие"
2015-04-29 09:24:34 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 09:24:34 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 09:24:34 INFO - Word dictionary doesn't contain word: "совокупность предметов"
2015-04-29 09:24:34 INFO - Word dictionary doesn't contain word: "то"
2015-04-29 09:24:34 INFO - Word dictionary doesn't contain word: "что объединено"
2015-04-29 09:24:34 INFO - Word dictionary doesn't contain word: "установить отношение"
2015-04-29 09:24:35 INFO - Word dictionary doesn't contain word: "естественные науки"
2015-04-29 09:24:35 INFO - Word dictionary doesn't contain word: "естественные науки"
2015-04-29 09:24:35 INFO - Word dictionary doesn't contain word: "отбить удар"
2015-04-29 09:24:36 INFO - Word dictionary doesn't contain word: "внутренность здания"
2015-04-29 09:24:36 INFO - Word dictionary doesn't contain word: "столица штата сша"
2015-04-29 09:24:37 INFO - Word dictionary doesn't contain word: "обстоятельства"
2015-04-29 09:24:37 INFO - Word dictionary doesn't contain word: "условия"
2015-04-29 09:24:37 INFO - Word dictionary doesn't contain word: "внутренние обстоятельства"
2015-04-29 09:24:37 INFO - Word dictionary doesn't contain word: "небольшая часть"
2015-04-29 09:24:38 INFO - Word dictionary doesn't contain word: "небольшая часть"
2015-04-29 09:24:38 INFO - Word dictionary doesn't contain word: "зал для собраний"
2015-04-29 09:24:38 INFO - Word dictionary doesn't contain word: "занятий"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "часть представления"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "часть представления"
2015-04-29 09:24:39 INFO - Word dictionary doesn't contain word: "то"
